,FishID,temp,fifth_perc_MO2_mg_hr,fifth_perc_MO2_mg_hr_kg,tenth_perc_MO2_mg_hr,tenth_perc_MO2_mg_hr_kg,Chamber,Chamber_pos,sex,pop,Channel,length,mass,mass_kg,wam_date,Weekday,accl_order
98,O2O4G6,28,6.274855777,581.0051646,6.42605535,595.005125,2,b,M,OCE,1,71,10.8,0.0108,3/22/19,Friday,2
102,O2P3O6,28,2.876671286,250.1453292,3.037551212,264.134888,14,b,M,OCE,7,75,11.5,0.0115,3/22/19,Friday,2
124,P1G3G6,28,5.036832936,359.7737811,5.168176504,369.1554646,10,b,F,OCE,5,80,14,0.014,3/22/19,Friday,2
141,P1R3G6,28,4.070738519,252.8409018,4.268722615,265.1380506,20,b,F,OCE,10,81,16.1,0.0161,3/22/19,Friday,2
154,P2P4R6,28,4.86646005,657.6297365,4.925468916,665.6039076,6,b,M,NOC,3,62,7.4,0.0074,3/22/19,Friday,2
189,R1P4R5,28,4.409756488,312.7486871,4.855151561,344.3369901,15,a,M,SOC,8,80,14.1,0.0141,3/22/19,Friday,2
201,R2G4G5,28,2.280977929,345.6027165,2.315182126,350.7851706,18,b,M,OCE,9,64,6.6,0.0066,3/22/19,Friday,2
212,R3G4O6,28,3.383469914,331.7127366,3.625253398,355.4169998,17,a,M,SOC,9,70,10.2,0.0102,3/22/19,Friday,2
225,R4R5O6,28,4.469898858,392.096391,4.613326085,404.6777267,4,b,M,OCE,2,74,11.4,0.0114,3/22/19,Friday,2
5,G1O2O6,28,1.308414436,124.6108986,1.420538677,135.2893978,10,b,F,NOC,5,73,10.5,0.0105,3/27/19,Wednesday,2
24,G2G3O4,28,4.407933993,282.5598713,4.428386254,283.8709137,7,a,F,OCE,4,86,15.6,0.0156,3/27/19,Wednesday,2
33,G2O3P5,28,3.152106686,289.1840996,3.282547068,301.1511071,13,a,M,NOC,7,71,10.9,0.0109,3/27/19,Wednesday,2
50,G2R4P6,28,4.333323742,265.8480824,4.447238276,272.8367041,5,a,M,OCE,3,83,16.3,0.0163,3/27/19,Wednesday,2
65,O1G2O6,28,2.243859752,263.9835002,2.426358914,285.4539899,6,b,M,OCE,3,67,8.5,0.0085,3/27/19,Wednesday,2
69,O1G3G4,28,3.397866438,271.829315,3.461949987,276.955999,18,b,M,OCE,9,78,12.5,0.0125,3/27/19,Wednesday,2
104,O2P4P5,28,1.784416095,100.2480952,1.917153246,107.7052385,1,a,F,NOC,1,88,17.8,0.0178,3/27/19,Wednesday,2
115,O3O4G6,28,3.489386773,222.2539346,3.526032113,224.5880327,9,a,M,OCE,5,79,15.7,0.0157,3/27/19,Wednesday,2
137,P1P2R3,28,3.071389094,301.1165778,3.226333885,316.3072437,14,b,M,NOC,7,70,10.2,0.0102,3/27/19,Wednesday,2
138,P1R2G4,28,4.970974158,297.6631232,5.107973364,305.8666685,17,a,F,OCE,9,81,16.7,0.0167,3/27/19,Wednesday,2
140,P1R2R6,28,3.141997558,418.9330077,3.302373313,440.3164417,8,b,M,NOC,4,68,7.5,0.0075,3/27/19,Wednesday,2
180,R1O2R5,28,2.39579102,223.9057028,2.498170872,233.4739133,12,b,M,OCE,6,72,10.7,0.0107,3/27/19,Wednesday,2
187,R1P3P4,28,2.195640488,119.3282874,3.578125507,194.4633428,16,b,F,OCE,8,84,18.4,0.0184,3/27/19,Wednesday,2
2,G1G2G6,28,4.702048865,587.7561082,4.762085496,595.260687,12,b,M,NOC,6,67,8,0.008,4/8/19,Monday,2
7,G1O2R4,28,4.303032725,323.5362951,4.374131199,328.882045,4,b,M,SOC,2,84,13.3,0.0133,4/8/19,Monday,2
39,G2P3O6,28,4.534934347,467.5190049,4.589384431,473.1324156,7,a,F,SOC,4,73,9.7,0.0097,4/8/19,Monday,2
56,G3O4G6,28,2.915772246,435.1898874,2.940364879,438.8604297,3,a,F,SOC,2,62,6.7,0.0067,4/8/19,Monday,2
59,G3R4P6,28,6.648080822,365.279166,7.152366637,392.9871779,13,a,F,SOC,7,92,18.2,0.0182,4/8/19,Monday,2
62,G4R5R6,28,5.065254252,473.3882478,5.984734296,559.3209622,16,b,F,NOC,8,74,10.7,0.0107,4/8/19,Monday,2
81,O1R2G4,28,4.864301158,640.0396261,5.058188098,665.5510655,19,a,F,SOC,10,67,7.6,0.0076,4/8/19,Monday,2
85,O1R2G6,28,3.632582635,305.259045,3.700705323,310.9836406,6,b,F,OCE,3,74,11.9,0.0119,4/8/19,Monday,2
88,O1R2R4,28,5.731693308,444.3173107,5.963318266,462.2727338,15,a,F,SOC,8,76,12.9,0.0129,4/8/19,Monday,2
91,O1R4P5,28,5.388933008,533.5577236,5.703040828,564.6575077,14,b,F,SOC,7,71,10.1,0.0101,4/8/19,Monday,2
97,O2O3G6,28,4.242683337,597.5610334,4.357123426,613.6793558,18,b,M,SOC,9,67,7.1,0.0071,4/8/19,Monday,2
117,O3O4R6,28,6.759268807,549.5340494,6.91947574,562.5590033,8,b,F,OCE,4,82,12.3,0.0123,4/8/19,Monday,2
130,P1G4P6,28,4.575913815,492.0337435,4.737007265,509.3556199,17,a,M,NOC,9,72,9.3,0.0093,4/8/19,Monday,2
151,P2G5G6,28,4.260622382,990.8424144,4.288120847,997.2374063,11,a,M,SOC,6,74,4.3,0.0043,4/8/19,Monday,2
157,P3O4G5,28,3.352324797,817.6401945,3.443070027,839.7731774,20,b,M,NOC,10,52,4.1,0.0041,4/8/19,Monday,2
159,P3O4R6,28,4.900722999,532.6872825,5.126731714,557.2534471,2,b,F,NOC,1,69,9.2,0.0092,4/8/19,Monday,2
170,R1G3O5,28,4.779658377,401.6519644,4.900275287,411.7878393,5,a,F,NOC,3,74,11.9,0.0119,4/8/19,Monday,2
186,R1P3O4,28,5.391375943,411.5554155,5.688240673,434.2168453,9,a,F,SOC,5,79,13.1,0.0131,4/8/19,Monday,2
197,R1R4R6,28,2.688525197,203.6761513,2.980565743,225.800435,1,a,M,SOC,1,82,13.2,0.0132,4/8/19,Monday,2
219,R3O5O6,28,5.041827177,600.2175211,5.07515148,604.1847,10,b,F,NOC,5,67,8.4,0.0084,4/8/19,Monday,2
9,G1O5P6,28,2.981908078,198.7938718,3.040926621,202.7284414,6,b,M,OCE,3,78,15,0.015,5/30/19,Thursday,1
17,G1R3G5,28,3.687844564,358.0431616,3.767923959,365.8178601,19,a,M,SOC,10,72,10.3,0.0103,5/30/19,Thursday,1
22,G1R4P6,28,2.71249614,248.8528569,2.827998618,259.4494145,8,b,M,OCE,4,71,10.9,0.0109,5/30/19,Thursday,1
28,G2G3R5,28,2.366557509,225.3864294,2.468312819,235.0774114,4,b,F,NOC,2,70,10.5,0.0105,5/30/19,Thursday,1
43,G2P4G5,28,5.361761138,352.7474433,5.556808758,365.5795236,20,b,F,SOC,10,82,15.2,0.0152,5/30/19,Thursday,1
61,G4G5R6,28,3.389774225,325.9398293,3.575923976,343.8388438,17,a,M,NOC,9,73,10.4,0.0104,5/30/19,Thursday,1
75,O1O2R5,28,3.740160576,385.5835645,3.801622422,391.9198373,15,a,F,NOC,8,74,9.7,0.0097,5/30/19,Thursday,1
119,O4G5G6,28,2.80509481,220.8736071,2.861372849,225.3049487,1,a,F,OCE,1,80,12.7,0.0127,5/30/19,Thursday,1
123,P1G2R3,28,4.57996921,477.0801261,4.799970749,499.9969531,16,b,M,SOC,8,72,9.6,0.0096,5/30/19,Thursday,1
129,P1G4O5,28,2.862747383,251.1181915,3.068604679,269.175849,9,a,M,SOC,5,74,11.4,0.0114,5/30/19,Thursday,1
136,P1O3R4,28,5.048437923,373.9583647,5.324838761,394.4325008,3,a,M,NOC,2,80,13.5,0.0135,5/30/19,Thursday,1
165,P3R4R5,28,4.026547185,341.2328123,4.159116354,352.4674876,13,a,M,OCE,7,76,11.8,0.0118,5/30/19,Thursday,1
167,R1G2P4,28,3.79437778,361.3693123,4.05496584,386.1872229,2,b,F,NOC,1,68,10.5,0.0105,5/30/19,Thursday,1
179,R1O2R5,28,2.39579102,223.9057028,2.498170872,233.4739133,10,b,M,OCE,5,72,10.4,0.0104,5/30/19,Thursday,1
181,R1P2O5,28,3.09801874,253.9359623,3.148649514,258.0860258,5,a,M,NOC,3,75,12.2,0.0122,5/30/19,Thursday,1
184,R1P2R5,28,3.683442078,317.5381102,3.838932918,330.942493,12,b,M,OCE,6,74,11.6,0.0116,5/30/19,Thursday,1
192,R1R2R6,28,3.055986324,351.2627958,3.096071549,355.870293,18,b,F,OCE,9,68,8.7,0.0087,5/30/19,Thursday,1
209,R2R4R6,28,2.930940828,390.7921103,3.141445702,418.859427,11,a,F,NOC,6,64,7.5,0.0075,5/30/19,Thursday,1
214,R3G5O6,28,2.522223509,280.2470565,2.615324286,290.5915874,14,b,M,OCE,7,73,9,0.009,5/30/19,Thursday,1
4,G1O2G6,28,3.583548983,416.6917423,3.750369434,436.0894691,7,a,F,OCE,4,65,8.6,0.0086,6/4/19,Tuesday,1
13,G1R2G5,28,3.351193742,356.5099725,3.800598837,404.3190252,5,a,F,SOC,3,70,9.4,0.0094,6/4/19,Tuesday,1
37,G2O4G6,28,3.591526379,422.5325152,3.678938214,432.8162605,14,b,M,NOC,7,67,8.5,0.0085,6/4/19,Tuesday,1
41,G2P3R6,28,4.465662886,318.9759204,4.547922472,324.8516051,15,a,M,OCE,8,75,14,0.014,6/4/19,Tuesday,1
76,O1O3R4,28,3.877746293,478.7341102,3.980928871,491.4727001,12,b,F,NOC,6,68,8.1,0.0081,6/4/19,Tuesday,1
83,O1R2G5,28,3.873681242,435.2450834,4.022226638,451.9355773,13,a,M,OCE,7,68,8.9,0.0089,6/4/19,Tuesday,1
87,O1R2O4,28,4.036156497,310.4735767,4.161598356,320.1229505,6,b,F,NOC,3,75,13,0.013,6/4/19,Tuesday,1
93,O2G5R6,28,3.569669148,463.5933958,3.674841161,477.2520988,4,b,M,OCE,2,64,7.7,0.0077,6/4/19,Tuesday,1
111,O3G5R6,28,2.9467355,241.5356967,3.211196707,263.2128448,3,a,F,SOC,2,72,12.2,0.0122,6/4/19,Tuesday,1
113,O3O4G5,28,4.74219421,364.78417,5.020075295,386.159638,16,b,M,SOC,8,78,13,0.013,6/4/19,Tuesday,1
143,P1R3R5,28,6.085181354,507.0984462,6.786195631,565.5163026,19,a,F,OCE,10,75,12,0.012,6/4/19,Tuesday,1
156,P2R4G5,28,4.142554245,376.5958405,4.176369543,379.6699584,11,a,F,OCE,6,72,11,0.011,6/4/19,Tuesday,1
173,R1O2O5,28,1.667988872,205.9245521,1.846788753,227.9986115,1,a,F,NOC,1,70,8.1,0.0081,6/4/19,Tuesday,1
174,R1O2P4,28,4.18038848,309.6584059,4.228057473,313.1894425,17,a,M,SOC,9,72,13.5,0.0135,6/4/19,Tuesday,1
194,R1R3G6,28,4.212564707,429.8535416,4.360143028,444.9125539,2,b,M,OCE,1,69,9.8,0.0098,6/4/19,Tuesday,1
199,R1R5P6,28,4.700707016,382.1713021,4.878670213,396.6398547,8,b,M,SOC,4,76,12.3,0.0123,6/4/19,Tuesday,1
204,R2O3O5,28,2.566561826,301.9484501,2.656835267,312.568855,18,b,M,SOC,9,67,8.5,0.0085,6/4/19,Tuesday,1
208,R2P5P6,28,3.818944178,323.6393371,4.023120978,340.9424557,9,a,F,OCE,5,72,11.8,0.0118,6/4/19,Tuesday,1
220,R3P5G6,28,5.879605061,485.9177736,6.121970358,505.9479634,10,b,M,OCE,5,75,12.1,0.0121,6/4/19,Tuesday,1
224,R3R5R6,28,3.797691972,339.0796403,3.845140928,343.3161543,20,b,M,SOC,10,73,11.2,0.0112,6/4/19,Tuesday,1
8,G1O3R6,28,5.383334613,476.4012932,5.626834904,497.9499915,14,b,M,SOC,7,71,11.3,0.0113,6/5/19,Wednesday,1
15,G1R2P5,28,3.602546637,507.4009348,3.690232728,519.7510885,5,a,M,NOC,3,70,7.1,0.0071,6/5/19,Wednesday,1
16,G1R2R6,28,4.396433396,523.384928,4.446023516,529.2885138,17,a,M,SOC,9,70,8.4,0.0084,6/5/19,Wednesday,1
35,G2O3R5,28,3.863594295,364.4900278,3.955642863,373.173855,20,b,F,SOC,10,70,10.6,0.0106,6/5/19,Wednesday,1
72,O1G3O6,28,4.282256624,465.4626765,4.304951888,467.929553,18,b,F,NOC,9,62,9.2,0.0092,6/5/19,Wednesday,1
73,O1G3P6,28,4.927530736,879.9162028,5.066764705,904.7794116,15,a,M,OCE,8,75,5.6,0.0056,6/5/19,Wednesday,1
100,O2O4R5,28,5.983003306,534.1967238,6.382583324,569.8735111,19,a,F,NOC,10,74,11.2,0.0112,6/5/19,Wednesday,1
108,O2R5R6,28,4.030311962,485.5797545,4.087850364,492.512092,8,b,M,OCE,4,65,8.3,0.0083,6/5/19,Wednesday,1
121,O4O5R6,28,5.475019673,348.7273677,5.566058249,354.5260031,4,b,F,OCE,2,84,15.7,0.0157,6/5/19,Wednesday,1
132,P1G5O6,28,4.461775634,378.1165792,4.560230577,386.4602184,9,a,F,SOC,5,72,11.8,0.0118,6/5/19,Wednesday,1
146,P2G3P6,28,2.708823471,351.795256,2.931779787,380.7506217,3,a,M,NOC,2,65,7.7,0.0077,6/5/19,Wednesday,1
149,P2G4P5,28,3.068769356,369.7312477,3.377597127,406.9394129,1,a,M,NOC,1,62,8.3,0.0083,6/5/19,Wednesday,1
153,P2O4G5,28,3.872578669,403.3936114,4.074517678,424.4289248,12,b,F,SOC,6,71,9.6,0.0096,6/5/19,Wednesday,1
164,P3R4G6,28,4.448907416,505.5576609,4.670666273,530.757531,7,a,F,SOC,4,65,8.8,0.0088,6/5/19,Wednesday,1
177,R1O2P6,28,6.225879667,379.626809,6.7325876,410.5236342,10,b,F,SOC,5,80,16.4,0.0164,6/5/19,Wednesday,1
205,R2O3O6,28,4.770932351,422.2064028,4.893270157,433.0327573,16,b,M,NOC,8,61,11.3,0.0113,6/5/19,Wednesday,1
206,R2P3G4,28,3.100423995,756.2009745,3.284258706,801.0387087,11,a,M,NOC,6,53,4.1,0.0041,6/5/19,Wednesday,1
215,R3O4O6,28,3.705542963,441.136067,3.813910032,454.0369086,6,b,F,NOC,3,66,8.4,0.0084,6/5/19,Wednesday,1
222,R3R4G6,28,6.220867091,840.657715,6.663084852,900.4168718,13,a,F,SOC,7,61,7.4,0.0074,6/5/19,Wednesday,1